JDTDB,Date,X_km,Y_km,Z_km,VX_km_s,VY_km_s,VZ_km_s,LT,RG,RR
2462980.500000000, A.D. 2031-Apr-24 00:00:00.0000, -2.672842426833799E+08, -1.465072680424294E+08,  1.043719962106618E+07,  1.007227076534822E+01, -1.928021099974328E+01, -2.038990954665175E+00,  1.017311328100027E+03,  3.049822636023514E+08,  3.647766932492863E-01,
2462981.500000000, A.D. 2031-Apr-25 00:00:00.0000, -2.664093362368162E+08, -1.481705109654972E+08,  1.026084957215121E+07,  1.018012868465198E+01, -1.922067368965523E+01, -2.043174003782098E+00,  1.017418171337818E+03,  3.050142943992295E+08,  3.766741986225760E-01,
2462982.500000000, A.D. 2031-Apr-26 00:00:00.0000, -2.655251276743922E+08, -1.498285816828238E+08,  1.008414124609179E+07,  1.028759675358760E+01, -1.916048453441586E+01, -2.047284383647389E+00,  1.017528441035578E+03,  3.050473524229639E+08,  3.885550058085279E-01,
2462983.500000000, A.D. 2031-Apr-27 00:00:00.0000, -2.646316508777461E+08, -1.514814240101864E+08,  9.907080927515030E+06,  1.039467038085972E+01, -1.909964667012588E+01, -2.051321956104355E+00,  1.017642132305855E+03,  3.050814362083335E+08,  4.004185943133894E-01,
2462984.500000000, A.D. 2031-Apr-28 00:00:00.0000, -2.637289401238630E+08, -1.531289820360021E+08,  9.729674912772141E+06,  1.050134500628758E+01, -1.903816327172105E+01, -2.055286587920711E+00,  1.017759240111445E+03,  3.051165442452221E+08,  4.122644454063273E-01,
2462985.500000000, A.D. 2031-Apr-29 00:00:00.0000, -2.628170300823686E+08, -1.547712001246662E+08,  9.551929509512641E+06,  1.060761610121536E+01, -1.897603755258818E+01, -2.059178150793935E+00,  1.017879759265903E+03,  3.051526749787733E+08,  4.240920421705709E-01,
2462986.500000000, A.D. 2031-Apr-30 00:00:00.0000, -2.618959558127882E+08, -1.564080229198579E+08,  9.373851036258250E+06,  1.071347916891640E+01, -1.891327276417649E+01, -2.062996521355749E+00,  1.018003684434080E+03,  3.051898268095493E+08,  4.359008695548585E-01,
2462987.500000000, A.D. 2031-May-01 00:00:00.0000, -2.609657527617701E+08, -1.580393953478115E+08,  9.195445821976468E+06,  1.081892974499186E+01, -1.884987219560373E+01, -2.066741581175925E+00,  1.018131010132663E+03,  3.052279980936941E+08,  4.476904144244186E-01,
2462988.500000000, A.D. 2031-May-02 00:00:00.0000, -2.600264567602765E+08, -1.596652626205542E+08,  9.016720205653645E+06,  1.092396339776301E+01, -1.878583917325821E+01, -2.070413216765233E+00,  1.018261730730737E+03,  3.052671871431019E+08,  4.594601656125347E-01,
2462989.500000000, A.D. 2031-May-03 00:00:00.0000, -2.590781040207389E+08, -1.612855702391087E+08,  8.837680535868160E+06,  1.102857572865701E+01, -1.872117706039649E+01, -2.074011319577619E+00,  1.018395840450358E+03,  3.053073922255885E+08,  4.712096139725010E-01,
2462990.500000000, A.D. 2031-May-04 00:00:00.0000, -2.581207311341816E+08, -1.629002639966611E+08,  8.658333170363076E+06,  1.113276237258781E+01, -1.865588925673683E+01, -2.077535786011788E+00,  1.018533333367142E+03,  3.053486115650690E+08,  4.829382524287857E-01,
